"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","IAGMIN","IUTIL","ICONS","IMANU","IWHOLE","IRETAIL","ITRANS","IPROFSER","IREALE","IEDU","IHEALTH","IART","IACCO","HS1I","HS2I","HS3I"
"Galveston","hurricane","main_model","totDFFD","94.9477874979384","0","-0.194162855137127","0.0265155393357713","-0.343403973942468","-0.431190652427564","-0.567218211380503","-0.0467520527458563","-0.175994886892293","-0.270614050571478","-0.461400230522456","-0.237965872128457","-0.30980585282652","-0.766091529471326","-2.36094062879818","-0.742767999813338","-1.07018444489882"
"Galveston","hurricane","sector_model","DFFD _ IAGMIN_L1WI","-0.0599472615660627","-0.00625918179061935","0","0","-0.000111150918409019","0","-6.67622945595915e-06","0","0","0","1.27580328033008e-05","0","0","0.000133408809872515","0","-6.0234642894543e-06","-1.08671936012185e-05"
"Galveston","hurricane","sector_model","DFFD _ IAGMIN_L3WI","-0.175409922693808","-0.127688463613387","-0.000999357842780331","-0.00011058915104178","-0.00293160677251485","-0.000834277374786177","-1.39036660315259e-05","0","-0.000243299705976998","0.000106202557047642","0.00169286374080211","0.000175945779748284","0","5.93011685591674e-05","-0.00034054435497887","-0.000143186319047633","-0.000207657894188248"
"Galveston","hurricane","sector_model","DFFD _ IAGMIN_L4WI","-0.153897613360272","-0.172785012019347","-0.00189595273340465","-0.000367964390039478","-0.00609674818399662","-0.00255933529187372","0.000107840655404199","0","-0.00049061355995499","0.000908635836463352","0.00234911352172562","0.000600936853320482","0","0","-0.000351452262128955","-0.000167932339036718","-0.00022724032353431"
"Galveston","hurricane","sector_model","DFFD _ IAGMIN_L1BI","-0.0406690097762151","-0.00120936671540151","0","0","-1.68209895585379e-05","0","0","0","0","0","0","0","0","2.90139488661131e-05","0","-9.2065133412176e-07","-3.25996007867806e-06"
"Galveston","hurricane","sector_model","DFFD _ IAGMIN_L4BI","-0.107160560086799","-0.00689900168312338","0","0","-0.000180949921576989","0","-5.89290492196144e-06","0","0","0","6.41455229896689e-05","0","0","0","0","-1.13610463864885e-05","-1.97647667194353e-05"
"Galveston","hurricane","sector_model","DFFD _ IAGMIN_L1HI","-0.0419848365083101","-0.00127707895801344","0","0","-2.16539188867314e-05","0","0","0","0","0","0","0","0","3.21274864014675e-05","0","-1.29240943164893e-06","-3.85454542284202e-06"
"Galveston","hurricane","sector_model","DFFD _ IAGMIN_L2HI","-0.0719179848402416","-0.0114429814895654","-0.000127758580829577","0","-0.000242568249871147","0","0","0","0","0","5.53894051336492e-05","0","0","0.000264290337675017","0","-1.3724122791637e-05","-2.10736250411721e-05"
"Galveston","hurricane","sector_model","DFFD _ IAGMIN_L3HI","-0.0972038494717247","-0.0244969775560978","-0.000194924388695094","-9.96273266111589e-05","-0.000508062939922893","0","1.59272868992241e-05","0","0","0.000202607984570808","0.000306553750171846","0","0","0","-7.61692533505186e-06","-2.59642299975514e-05","-3.74312631766165e-05"
"Galveston","hurricane","sector_model","DFFD _ IAGMIN_L4HI","-0.105163425926151","-0.0139877590808631","0","-0.000282219209727831","-0.000662380514427303","0","3.64178810965388e-05","0","-3.85716960094844e-05","0","5.28557208507836e-06","5.5519085451741e-05","0","0","0","-1.99368863591595e-05","-2.59987945907488e-05"
"Galveston","hurricane","sector_model","DFFD _ IUTIL_L2WI","0.049220015115717","0","0.00622392526738904","0","0","0","-3.66797358462918e-05","0","0","0","0","0","0","0","0","0","-5.55505791078216e-07"
"Galveston","hurricane","sector_model","DFFD _ IUTIL_L3WI","-0.0655451721660446","0","0.143516516547133","-0.000457942686701202","-0.00150021632393194","-2.56492171913878e-05","-0.00119706476595407","0","-0.000426194989236301","-0.000760702499577351","0.00129932104922977","-0.000233341661716344","0","-0.000509286991220508","-0.000376760050361448","-0.000111198797674351","-0.000204793757625831"
"Galveston","hurricane","sector_model","DFFD _ IUTIL_L4WI","-0.0215658378122011","0","0.0939247255189712","-0.000265271739242086","-0.00244334877470391","-0.000647746454835444","-0.000619156433583878","0","-0.000355188806459236","0","0.000764068220483447","0","0","-0.000367724079515994","-7.92394076781046e-05","-4.22397942502966e-05","-8.89908141074393e-05"
"Galveston","hurricane","sector_model","DFFD _ IUTIL_L3BI","0.00330682850694244","0","0.0338872088079406","0","-0.000261116741478586","0","-0.000264641344753659","0","-2.31631199350815e-05","-8.70662348105446e-05","2.56225928381853e-06","0","0","-6.16972424570116e-05","-8.8140304352798e-06","-2.23301324241225e-05","-5.8002106942033e-05"
"Galveston","hurricane","sector_model","DFFD _ IUTIL_L1HI","0.051958170737306","0","0.012823112390485","0","0","0","-0.000106878504260351","0","0","0","0","0","0","0.000143067059925565","0","0","-1.13458344231957e-05"
"Galveston","hurricane","sector_model","DFFD _ IUTIL_L2HI","-0.163296694191803","0","0.236471707376488","-0.00191488841943806","-0.00202430756986073","0","-0.00193376448944908","0","-0.00068778417365994","-0.00148153336323642","0.000358684098900747","-0.000451134504982754","0","0.00499353137403062","-0.000674168188970964","-0.000203670268552708","-0.000329324309966091"
"Galveston","hurricane","sector_model","DFFD _ IUTIL_L3HI","-0.0162728794146934","0","0.0903768983608046","-0.00112615432077306","-0.000516027543170365","0","-0.00051985567556651","0","-8.23627207370551e-05","0.000236367970406394","0.000723628393604736","-4.64133493361971e-05","0","-0.000332607721471794","-9.66447535571187e-05","-5.46416483851218e-05","-0.0001042125226688"
"Galveston","hurricane","sector_model","DFFD _ ICONS_L1WI","-0.0492224294159224","0","0","0.0564253002023436","-0.00769141453028059","-0.0108260259861356","-0.0104257730808752","-0.000527785238863522","-0.000827566171040993","-5.29623969583245e-05","0.000174794995173832","0","0.000725046372494095","0.00672206766948237","-0.00335753044388002","-0.00014619470047711","-0.00080186129966888"
"Galveston","hurricane","sector_model","DFFD _ ICONS_L2WI","0.0338829807261591","0","-0.000769983390362369","0.0813654937474511","-0.0123171428238732","-0.0182146651085351","-0.0146678389716502","-0.000906394560417483","-0.00148354329973511","0","0.00275663952097046","0","0","0.00156551058116053","-0.00483758313759843","-0.000185751945082083","-0.0011286110738773"
"Galveston","hurricane","sector_model","DFFD _ ICONS_L3WI","0.0622441652279576","0","-0.00226449184225731","0.0883669445328756","-0.0145358887167784","-0.0180838155603338","-0.0153155586618848","-0.00151799142316315","-0.00182584776732942","-0.000437332781490679","0.00459723688907564","0","0","0.000417483436723978","-0.00564946297157172","-0.000309382667372416","-0.00138779774148201"
