"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","IAGMIN","IUTIL","ICONS","IMANU","IWHOLE","IRETAIL","ITRANS","IPROFSER","IREALE","IEDU","IHEALTH","IART","IACCO","HS1I","HS2I","HS3I"
"Galveston","hurricane","main_model","totMIGT","7.11653921368256","0","-0.00867407885486488","0.0172390352053361","-0.067279527132899","-0.064794222170055","-0.0629353387106998","0","-0.0147597144385878","0.00283973453965801","0.0928389334739891","0","0","0","-0.331651433876643","-0.115014971756706","-0.157863306185535"
"Galveston","hurricane","sector_model","MIGT _ HH1WI","-0.143422855246986","0","-0.000597648797791191","1.70229678763003e-05","-0.000644838130857584","-0.000592383649042901","-0.00192053937168021","0","-0.000376854103246007","-0.000208934312280134","0","-0.000199876518895138","0","-0.000111482365296159","-0.00386975334226791","-0.000830005663768052","-0.00182080063374498"
"Galveston","hurricane","sector_model","MIGT _ HH2WI","0.219815102701693","0","-0.00142695548221011","0.000223386574475958","-0.00154579337337174","-0.00185913192886761","-0.00386505877797588","0","-0.000859840706769593","-0.000574393725045372","0","-0.000971455558955898","0","-0.000249798525024512","-0.0121692873209838","-0.00396180381957467","-0.00560402513564217"
"Galveston","hurricane","sector_model","MIGT _ HH3WI","1.08599896926504","0","-0.00386990351263075","0.00102681949071305","-0.00449237129690605","-0.0075185844543538","-0.0119493063375294","-6.37393530221669e-05","-0.00275480492114342","-0.00255443794383613","-0.000429107569278658","-0.00235372655219966","-0.00116765116043855","-0.000866343513943128","-0.030868486772016","-0.0101857968857975","-0.0142549284445868"
"Galveston","hurricane","sector_model","MIGT _ HH4WI","2.62725610568884","0","-0.00237462915120653","0.00272899412188861","-0.00676515647640313","-0.0101222278341704","-0.0165065152136093","-9.88138098415286e-06","-0.00391384329063949","-0.0042397533300567","0","-0.00344257812395482","-0.00343590089667707","-0.00130060496087472","-0.0674468106067058","-0.0226540181403546","-0.0314014567059588"
"Galveston","hurricane","sector_model","MIGT _ HH5WI","3.95861828099672","0","0","0.000568112715735983","-0.00504450739441412","-0.000673705892329626","-0.0103816269113981","0","-0.00183371285310975","-0.000588117920244464","0.00104981811926628","-0.000718194543582028","-0.000378081382328179","0","-0.108198405881568","-0.0352995550146379","-0.0496194553228208"
"Galveston","hurricane","sector_model","MIGT _ HH1BI","-0.205305883736343","0","0","0","-8.80800975046114e-05","0","-0.000509951876271266","0","-4.67704629501825e-05","0","0","0","0","0","-0.000936527865424957","-0.000337742707214592","-0.000486919816979773"
"Galveston","hurricane","sector_model","MIGT _ HH2BI","-0.122933873638792","0","-0.000264907378333905","0","-0.000494375783829215","-0.000345988160094086","-0.000983178298731624","0","-0.000229925997493775","-6.53748520992644e-05","0","-0.000125775071456071","0","-0.000229025288733364","-0.00357238234919097","-0.00121587672228488","-0.00171484475561921"
"Galveston","hurricane","sector_model","MIGT _ HH3BI","0.142757942631146","0","-0.000972653590559131","0","-0.00146166572407828","-0.00186840479258966","-0.00328648552266739","0","-0.000872931832340538","-0.00059558075619094","0.000259940133612467","-0.000680003984399766","0","-0.000601428340129747","-0.00935576711427068","-0.00314354238827645","-0.00439677154149401"
"Galveston","hurricane","sector_model","MIGT _ HH4BI","-3.44866895551605","0","-0.00158222657488601","0","-0.00161347880288191","-0.00349278853194505","-0.00629820211797758","0","-0.00146895872423809","-0.00095027911949553","0.000257476101578621","-0.00132166413456634","0","-0.000390045816836309","-0.0266926451219065","-0.00868831899291768","-0.0121330930449117"
"Galveston","hurricane","sector_model","MIGT _ HH5BI","-0.543162355162389","0","0","0","-0.00137928046216741","-3.28846795592574e-05","-0.00131765759172873","0","-0.000122489829835106","0","0","0","0","0","-0.0200139558981396","-0.00660899427669503","-0.00926642228958404"
"Galveston","hurricane","sector_model","MIGT _ HH1HI","-0.205681525660858","0","-2.86626801242448e-06","0","-0.000103076364166521","0","-0.00055536075131344","0","-6.28834101700208e-05","0","0","0","0","0","-0.00103387862407122","-0.000368090538396856","-0.000530908696387057"
"Galveston","hurricane","sector_model","MIGT _ HH2HI","-0.00219631434590657","0","-0.000155112662768981","0.000226911968532067","-0.000803095724414238","-0.00107538591413813","-0.00223001753970143","0","-0.000443917330029599","-0.000141883183552763","0","-0.000412882883698064","0","-0.000839135821383176","-0.00677490291173192","-0.00223067799685209","-0.00315842672059781"
"Galveston","hurricane","sector_model","MIGT _ HH3HI","0.251059341105512","0","0","0.00161715543496686","-0.00203574745900935","-0.00316635457645278","-0.00511733538121419","0","-0.001181759928427","-0.0018417455820643","0.000227914461200666","-0.000726934204510319","0","-0.00173540954641268","-0.0123422375906801","-0.00410113654591665","-0.00575037515929903"
"Galveston","hurricane","sector_model","MIGT _ HH4HI","-0.0128882673428592","0","-0.001850404649022","0.00588003036624045","-0.00524474873001491","-0.00884345408280538","-0.00934346573951636","0","-0.00231616667078019","-0.00264995709613808","0.00277338611700002","-0.00158279661527361","0","-0.00151924527590604","-0.0355691697209557","-0.0116493085133742","-0.0163619935115417"
"Galveston","hurricane","sector_model","MIGT _ HH5HI","0.0660202268395834","0","0","0.000575820446540493","-0.000473265682124716","0","-0.000922035050362383","0","-0.000145221196109475","-0.00013551316431399","0","0","0","0","-0.00893505526613238","-0.00291838111942328","-0.00412704501774138"
