"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","ART_ACC_R1","ART_ACC_R2","ART_ACC_R3","ART_ACC_R4","ART_ACC_R5","ART_ACC_R6","ART_ACC_R7","COMMER_R1","COMMER_R2","COMMER_R3","COMMER_R4","COMMER_R5","COMMER_R6","COMMER_R7","CONS_R1","CONS_R2","CONS_R3","CONS_R4","CONS_R5","CONS_R6","CONS_R7","EDU_R1","EDU_R2","EDU_R3","EDU_R4","EDU_R5","EDU_R6","EDU_R7","HS1_R1","HS1_R2","HS1_R3","HS1_R4","HS1_R5","HS1_R6","HS1_R7","HS2_R1","HS2_R2","HS2_R3","HS2_R4","HS2_R5","HS2_R6","HS2_R7","HEALTH_R1","HEALTH_R2","HEALTH_R3","HEALTH_R4","HEALTH_R5","HEALTH_R6","HEALTH_R7","MANU_R1","MANU_R2","MANU_R3","MANU_R4","MANU_R5","MANU_R6","MANU_R7","RELIG_R1","RELIG_R2","RELIG_R3","RELIG_R4","RELIG_R5","RELIG_R6","RELIG_R7","UTIL_R1","UTIL_R2","UTIL_R3","UTIL_R4","UTIL_R5","UTIL_R6","UTIL_R7"
"SLC","earthquake","main_model","totDDS","94.7047615674173","-0.287883918408431","-0.287552740299594","-0.265603552951034","-0.270426296903925","-0.251441335779809","-0.161053875597043","0","-0.279906684122777","-0.278294826893055","-0.248057808193457","-0.252279283315536","-0.244050850277802","-0.239123537120185","-0.257225308573057","-0.840216991311522","-0.163923515573549","-0.273974115602849","0","0","0","0","0","-0.234141415424839","-0.035411427538892","-0.211278137592845","0","-0.0554529692830807","0","-0.426973108141082","-0.411642214470317","-0.36564602921107","-0.353496706024138","-0.295690617302096","-0.378819835272695","-0.549150075267567","-0.416412237335229","-0.413258820407578","-0.360576429034327","-0.348094506044403","-0.290410250108047","-0.380819188459347","-0.530257770619855","-0.353947494806686","-0.27511045332759","-0.225903999886922","-0.227821749555162","-0.238088480897042","-0.212711777025434","-0.218107181875932","-0.294327783463299","-1.5279495457582","-0.233125310646363","0","-0.244884125479214","-0.124930092049231","-0.77222376152391","-0.176233369973929","-0.18408582010479","-0.157656743338269","-0.162229151478494","-0.153482019048179","0.132397126645898","-0.0819930551595193","-0.338757640235611","-0.32771018780876","-0.309468516114291","-0.169771849221317","-0.21346047419723","-0.329639309456361","0"
"SLC","earthquake","sectorRegion_model","DDS_ ART_ACC_R1","0.628657105312516","-0.248652006868071","0","0","0","0","0","-0.00284970685295785","-0.000307618098120506","-9.14155281333016e-06","-2.05766319659795e-05","0","0","0","0","0","0","0","0.000695686096385185","0","0","0","0","0","0","0","0","0","-0.00356803740824812","-0.0010010539988471","-0.000157276945148827","-0.000162820488918615","-0.000117913613746517","-6.76191815564304e-05","-0.000107610872805741","-0.000176367895336912","-0.000482062128356039","-0.000130924606352871","-0.000152278238149203","-7.72713966245355e-05","-0.000146542834620458","0","-6.52098733421209e-06","0.00509102486413256","0","0","0","0","0","5.67922006587713e-05","0","0","0","0","0","0","0","0.000279290741468764","0","0","0","0","0","-0.00745031714322565","0","0","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","DDS_ ART_ACC_R2","6.6550556179438","-0.00133889035859576","-0.254430976749413","-0.000385900234716584","0","0","0","0.0179719255538056","0","-0.00212053084383106","-0.000258287978858373","0","0","-0.000954343738247786","0","0","0.0491527763566973","0","0.0169300062332138","0.069335488629863","0","0.0559155360683112","0","0.000739212656806278","0","0","-0.0114862272486676","-0.00854438492528282","-0.0503880451147692","-0.0023862541609632","-0.00480355177511255","-0.00117310949641211","-0.00147091388282233","-0.00070099457640971","-0.0008774733838592","-0.00188209656080437","0","-0.00494015423112526","-0.0017886920451773","-0.00163870131248331","0","-0.000742365177205359","-0.00278977051918732","0.00570928577046935","0.00103145435265573","0","-0.000356097503437069","-0.00108881253533525","-0.00218034847407494","0","0","0","0","0","0","0.00615509905308398","0","-0.0012070125056005","0.00212308900666564","-0.000592337127199481","0","0","0","0","-0.00442745211600106","-0.00518937376971332","0","0","0","-0.00527323593299314","0"
"SLC","earthquake","sectorRegion_model","DDS_ ART_ACC_R3","0.704369689953792","-0.000434947733018216","-0.000149052261158647","-0.23935813148811","0.000135847916520706","0","0.000160187374247549","0","-0.000330315302027473","-0.000101573646496965","-0.000717545036219052","-0.000207535583502268","-9.95110443042919e-05","-9.97131099847007e-05","-0.000731239571186085","0.00364795943449959","-0.000550171077856764","0.00348022476338611","0.0133778709709108","0","0","0.0782980112699755","-0.0027030252716721","-4.31316751052979e-05","0","-0.000282014149299964","0","0","0.0478326005333146","-0.00119101746386411","-0.000704940627451168","-0.00196285541041152","-0.000649779908002728","-0.00040630687255392","-0.000675108453873867","-0.00145451411885896","-0.0008866008794518","-0.000794053423772417","-0.00200101246355217","-0.000624258918187854","-0.000399962022613409","-0.000617154112242564","-0.00118939190720645","-0.00123237628891214","0","0.00180037422540617","0","-0.000343092426055816","0.000355655336827844","-0.000109276409803821","0","0","0.000715157115203536","0","0","-2.61814584031143e-05","0.0120999895225442","-0.000252310188901774","-7.65487185330967e-05","0.000888540645091182","0","-0.000656699296732768","0","0","0.000180575376178338","4.26864927689255e-05","-0.00431280091357195","0.00078050206692424","0.000487870939012899","-0.00426627471463389","0.039218943311633"
"SLC","earthquake","sectorRegion_model","DDS_ ART_ACC_R4","0.677513996972468","-0.000270967027271403","-0.000136871281522923","5.55782248412593e-06","-0.252536250117122","-3.32288448389007e-06","0.00019165305137791","0","-7.45440017957647e-05","-9.57085293401116e-05","-0.000103856234213941","-0.000626565970852376","-5.46107167144063e-05","-0.000141633416638089","-0.000189479066758941","0.00740784830045722","0","-0.00049520930609155","0.0113834801481348","0.0645828657670343","0","0.124332597587876","-0.0187560619772834","-0.000113317247745263","0","0.000987700836675834","0","0","-0.107971607742678","-0.000649800191478782","-0.000598542979299609","-0.000517886165279998","-0.00196082851546955","-0.0003332120350576","-0.000373581657284574","-0.000749902341021731","-0.000261646826799887","-0.00052738187010005","-0.000475728526082909","-0.00190697218576643","-0.000319451191851055","-0.000651239241008226","-0.000556655589320768","0","-8.0049516231824e-05","0.000171527097661613","0.00104403129643186","-0.000185671911244747","-0.000357869381518213","0","0","0","0","0","-0.000151350038882917","-0.000101012001552197","-0.0105137249262944","-0.000722070574784546","-0.000201377968516542","0","0.00499038881078246","0","0","-0.00291650472927407","0.000242808762544724","9.22935308372554e-06","1.05100225794905e-05","-0.000523352389949081","0.00147171903913134","0","0"
"SLC","earthquake","sectorRegion_model","DDS_ ART_ACC_R5","0.641178543493747","-0.00031365389669468","-0.000107074625745176","-0.000203298618969592","-0.000227732217492262","-0.219168444445115","-0.0012720954354316","0.00502987874631574","-0.000306177722691803","-0.000164973994979532","-0.000160352896721958","-0.000253481063361068","-0.000812509899375577","-0.00029016157084812","-0.00037481944057846","0","0.00106119127599256","-0.00129692412144248","0","0","0.00411216044849316","0","0.00786991169173005","-6.84400320708768e-05","-2.99747662453756e-05","0","0.000503728797179873","0.000369433746122818","0","-0.00135075534836049","-0.000940604333736145","-0.000953317664935662","-0.000904507555236225","-0.00211302871228897","-0.00119594329063545","-0.00202013012822571","-0.00108441657289281","-0.00095802582986387","-0.000911593811950751","-0.000798757726458511","-0.00209792547575283","-0.00110676535782822","-0.00174420044812239","0.000258377527090267","6.80088945992761e-05","-2.51569524153509e-05","-0.000168531925587755","0.00198315344726892","-0.000227706987038953","-0.000876216429943969","-9.29387720211173e-05","0.0142734499390344","0","0","0.000774607193476726","-0.00162441378994405","-0.00719000474916675","-0.000288616586645816","-0.000231597468352276","0","-0.00053608245839678","0.00397377775582501","0","0","0","0.000214851639653368","-0.000204392673555397","0","-0.00348936476529208","0","0"
"SLC","earthquake","sectorRegion_model","DDS_ ART_ACC_R6","-0.468765176222542","-7.69641767333155e-05","-7.18993789622066e-05","-1.80711210898914e-06","0","-1.63623978009912e-05","-0.221971494910623","0","-0.000181181199849568","-9.64565894382843e-05","-0.000117412820168807","-9.65936562684205e-05","-0.000105345344255445","-0.000788945185557894","-0.000265591734354945","0","0","0","0","0","0","0","0","-3.91541679014107e-05","0","0","0","0","0","-0.000714643457700042","-0.000449212586222734","-0.000496776684654875","-0.000401597457583536","-0.000395181475213948","-0.00225579492838502","-0.00188402338369993","-0.000615458765326454","-0.00044904061691349","-0.000442312190779807","-0.000342489369899755","-0.000354666128879574","-0.00213405760878267","-0.00171133984734308","0","-1.09632760631333e-05","0","-3.75204581175685e-05","-6.49214817602184e-05","0.00295909376072782","0","0","0","0","0","-1.99063879098198e-05","0.00150533818881829","0","-0.000110499779227151","0","-1.87809969659888e-05","0","0","0","0","0","0","0","0","0","-0.00411655192912584","0"
"SLC","earthquake","sectorRegion_model","DDS_ ART_ACC_R7","-0.391375299064607","0","0","0","0","0","0","-0.231489464385226","-6.11945692690904e-06","-8.52266671932514e-06","-1.50386414882956e-05","0","0","0","1.01131308921313e-05","0","0","0","0","0","0","0","0","-1.96199718234526e-06","0","0","0","0","0","-9.49772660846507e-05","-4.30814327944831e-05","-6.32222468952671e-05","-3.72050778929848e-05","-3.45980477456612e-05","-9.53611846386482e-05","-0.000647936845811295","-2.88962037534976e-05","-3.52091048791614e-05","-4.74190362837579e-05","-3.99077833428752e-06","0","-1.49309676346914e-05","-0.00040454471646945","0","0","0","0","0","0","0.000499432797119129","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00743224468778975","0","0","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","DDS_ COMMER_R1","5.7146969042399","-0.0123132806101776","-0.000243139823791786","-6.25513748885101e-05","0","-0.000565506993866436","0.00957447921595435","0.0342516941931734","-0.24746714288349","-0.000817028593969361","-0.000991659740953049","-0.000697406131081602","-0.000559693923289718","-0.000493833284897503","-0.00268367499526287","0","0.00306706411318566","0","0","0","0","-0.062764138158186","0","-0.000626789717119639","0","-0.016191339285201","0","0","0","-0.0276183525019741","-0.00418886273050995","-0.00438708285342555","-0.00351219176005574","-0.00231035499016307","-0.00367129531770834","-0.00876524618801747","-0.0258825572998235","-0.00459919715536638","-0.00337907157803246","-0.00289935198525616","-0.00213338476361977","-0.00264434255478412","-0.00515081466763879","0.0296380234792876","0","0.000584953772729984","-0.000840250126562313","-0.00134333369704267","0","0","0.00930895515561934","-0.0464127740425737","0.000543240687933782","0","0","0","0","0.00716460996114538","0","0","0","0","0","-0.0670926087888019","-0.00840775888951537","-0.000485917938956197","0","0","0","0.00118499606246076","-0.167085653531387"
"SLC","earthquake","sectorRegion_model","DDS_ COMMER_R2","23.9122304883471","-0.00423747608437829","-0.0233239225239954","-0.00206714046709816","0","0","0","0","-0.00537725149173267","-0.259738187112576","-0.0018903476495222","-0.00118907242864387","-0.00116646670336563","-0.000345226988313993","-0.0143898343447959","0","0","-0.0101187565266791","-0.191280044179309","0","0.502279683879968","0","0","0","0","0","0.0423876961684989","0","0","-0.0200497729921966","-0.039764353262651","-0.0100673116642033","-0.0146612172797624","-0.0084136801680643","-0.0131721778791883","-0.0225939060538158","-0.0167157790805434","-0.040460108559261","-0.00736770329072173","-0.0133067315906298","-0.00811135617747467","-0.0152529214016012","-0.0243404947155089","0","0.00195434386835093","0","0","-0.00406080459885038","-0.00832332689676661","0","-0.00322767035240778","-0.0482374175974412","0","-0.266131635258801","-0.000779367492117755","0.0390904444297113","-0.320002674755111","0","0.0149937765995154","-2.26871688649459e-05","0","-0.00174480488817484","0.128337621109327","0.147461381485641","0","-0.0212896915115706","0","0","-0.00248698251961388","0","0.825183562945141"
