"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","ART_ACC_R1","ART_ACC_R2","ART_ACC_R3","ART_ACC_R4","ART_ACC_R5","ART_ACC_R6","ART_ACC_R7","COMMER_R1","COMMER_R2","COMMER_R3","COMMER_R4","COMMER_R5","COMMER_R6","COMMER_R7","CONS_R1","CONS_R2","CONS_R3","CONS_R4","CONS_R5","CONS_R6","CONS_R7","EDU_R1","EDU_R2","EDU_R3","EDU_R4","EDU_R5","EDU_R6","EDU_R7","HS1_R1","HS1_R2","HS1_R3","HS1_R4","HS1_R5","HS1_R6","HS1_R7","HS2_R1","HS2_R2","HS2_R3","HS2_R4","HS2_R5","HS2_R6","HS2_R7","HEALTH_R1","HEALTH_R2","HEALTH_R3","HEALTH_R4","HEALTH_R5","HEALTH_R6","HEALTH_R7","MANU_R1","MANU_R2","MANU_R3","MANU_R4","MANU_R5","MANU_R6","MANU_R7","RELIG_R1","RELIG_R2","RELIG_R3","RELIG_R4","RELIG_R5","RELIG_R6","RELIG_R7","UTIL_R1","UTIL_R2","UTIL_R3","UTIL_R4","UTIL_R5","UTIL_R6","UTIL_R7"
"SLC","earthquake","main_model","totDFFD","403.709859274561","-0.940446038032198","-0.551966866019573","-0.512093128907853","-0.401587282329203","-0.368451573430428","-0.277306705250416","-0.667204685465071","-0.769828299256287","-0.520674067075817","-0.546612767534012","-0.430442218938944","-0.400747149185339","-0.451084635969923","-0.705694873467966","-2.63147915729181","-0.164839319817628","-0.610850887639833","0","0","0","0","0","-0.433874013573058","-0.212991236125215","-0.464599176008476","-0.0885246839924327","-0.543033157819502","0","-2.03225350495916","-1.51410236012022","-1.39287144598899","-1.16967814462007","-0.91915305771262","-1.34429138888328","-2.55205620421204","-1.99043357037402","-1.51957085314019","-1.38140773501985","-1.15391832854772","-0.900645562394126","-1.33536259167119","-2.55234433169211","-1.98560444583788","-0.583944334110656","-0.644539002154482","-0.362459304445638","-0.464325997086406","-0.479530095752359","-0.596654055900622","-0.717110109030212","-5.76980931693527","-0.443759795541196","0","-0.290943429009459","-0.386771003087875","-3.45190577497581","-0.771467673350505","-0.560892900274342","-0.487732489242319","-0.572080112525633","-0.503536270404942","0.844655834608168","-2.93273161777938","-0.458707272786535","-0.334637977293149","-0.327728644223093","0","-0.0380508536057334","-0.57121929377851","-0.491570813470234"
"SLC","earthquake","sectorRegion_model","DFFD_ UTIL_R1_L3","-0.446818459944684","-0.0024803834903851","-0.000133451912267026","-4.78858525944174e-05","0","-1.76996886141928e-05","0","0","-0.000207442187801745","-0.000127561491444032","-0.000172930727929","-0.000139480835636324","-9.14240410986586e-05","-0.00011821794913875","-0.000224601904620115","0.00355175131546906","0","0","0","0","0","0","-0.00268624127753582","-5.95048862200981e-05","0","0","0","0","0","4.3376728208459e-05","-0.000884314223934321","-0.000910600232896441","-0.00071186501199804","-0.000426871691421666","-0.000694933956016092","-0.00149683837033402","0","-0.000882306556370066","-0.000886097242941744","-0.000672237488142538","-0.000371650325660856","-0.000622080182392141","-0.00131748102078913","0.00590849628609772","0","0","-7.61599943111758e-05","-4.74227816999701e-05","0","-4.42476398334127e-05","0.000983503696558675","0","0","0","-6.24181953349291e-06","0","0","0.00181837551294345","-2.28475137526343e-05","-7.41170205908761e-05","0","0","0","0","0.0437222616111975","0","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","DFFD_ UTIL_R1_L4","-0.463045606155086","-0.000860638958124711","-7.39213503652832e-05","0","0","0","0","0","0.00104543044130265","-9.61268966326201e-05","-7.35805390375683e-05","-0.000102400662017797","-8.00120132127201e-05","-0.000103854692011866","-0.000257500384475867","0.0121917855826612","0","0","0","0","0","0","0","-8.26391834995266e-05","0","0","0","0","0","0.00176889191098294","-0.000615618428879563","-0.000205911690271819","-0.000507778784205483","-0.000369191182162297","-0.00072282366749024","-0.00231750456460248","0.00161610294924136","-0.000607139684835211","-0.000185138342905033","-0.000473389547104403","-0.000322687247091824","-0.000662768655554564","-0.00212452324659182","0.0176665063689375","0","0","-4.93373760114795e-05","-2.2495230288481e-05","-2.16940345365531e-05","-0.000100429408809205","0.00129174824816588","0","0","0","-4.15022360333783e-05","0","0","0.00807193161351333","-7.80330659134438e-06","-3.06629467943148e-05","0","0","0","0","0.0258128175078696","0","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","DFFD_ CONS_R1_L1","-0.731081459520358","0.00950319839830223","-5.40416065085827e-05","0","0","0","0","0","0.00126775157776839","-4.98462363424541e-05","-6.54930347143185e-05","-8.08291112441247e-05","-5.01427546517129e-05","-8.17911408013543e-05","-0.000154984257467573","-0.248969856646196","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00408191149324811","-0.000530393011683513","-0.00053676380943896","-0.000518571827567759","-0.000310323431316192","-0.000585715000069207","-0.00143000392174093","-0.00398745581330429","-0.000519424461362708","-0.000490169070778229","-0.00046948485917187","-0.000246292779726588","-0.000481174842603129","-0.00127447563350381","0.0170632179007373","0","0","-1.19534349663191e-06","0","0","0","-0.000533440029012834","0","0","0","0","0","0","0.00614850941585081","0","-1.39199220365702e-05","0","0","0","0","0.000385285191866488","0","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","DFFD_ CONS_R1_L2","-0.797254265113248","0.01244786720816","-0.000242243398550982","-0.000210149557973404","-5.24678345548337e-05","-0.000103134655413109","-0.000195425886527051","0","0.00294701623948027","-0.00019245898203589","-0.000239753610497165","-0.000283001721894613","-0.000176367265003522","-0.000301461231071273","-0.000572160122855109","-0.698075854507882","0","0","0","0","0","0","0.00553194380889395","-5.99461146849325e-05","0","0","0","0","0","-0.0129631883109099","-0.00188067875149822","-0.00195948268638325","-0.00159948504900283","-0.000984324850475913","-0.00172836416083946","-0.00346383046340995","-0.0128193542123849","-0.00186627820036608","-0.0019049623379918","-0.00154214324959495","-0.000900909584351963","-0.00161532602448621","-0.00340750572975652","0.049850494540856","-8.25199286083579e-05","0","-0.000158443281134285","-0.000136125633444688","-3.26769090180108e-07","-7.78514077614978e-05","0.00241825623327889","0","0","0","-4.46890082801595e-06","0","0","0.0109829213855121","-4.08294451615509e-05","-0.000183819147513615","0","0","0","0","0.00150569525213354","-0.000164133478873158","-0.000122550639748575","0","0","-0.000283071712131248","0"
"SLC","earthquake","sectorRegion_model","DFFD_ CONS_R1_L3","-0.736137088966331","0.00577797872698151","-0.000197974074305708","-0.000126131276009325","-2.5918160469082e-05","-5.66345315107571e-05","0","0","0.0020554432531504","-0.000161108963552554","-0.000183914837014804","-0.000228417077185412","-0.000141295203945379","-0.000235105685282846","-0.000460084790256358","-0.523278590272701","0","0","0","0","0","0","0.00186662102844434","-3.99685887250435e-05","0","0","0","0","0","-0.0100437591846916","-0.00149339756874178","-0.0013894843574267","-0.00124413936299673","-0.000763314471194078","-0.0013051666261843","-0.00300551993510904","-0.00990594101162878","-0.00148167049837649","-0.00134149949077294","-0.00118920720908246","-0.000691741337039384","-0.00119105767123018","-0.00291489586870457","0.0220951473787651","-4.25794821419018e-05","0","-0.000109321771070374","-9.58715589822937e-05","0","0","0","0","0","0","0","0","0","0.00768902439372823","-3.71380249545445e-06","-0.000112177495497402","0","0","0","0","0","-0.000141937226883684","-8.49892330705679e-05","0","0","0","0"
"SLC","earthquake","sectorRegion_model","DFFD_ CONS_R1_L4","-0.736979145503431","0.00229438101122773","-5.56693963621304e-05","0","0","0","0","0","0.00139508884490148","-6.27834175684681e-05","-4.33307801588551e-05","-7.46743819321002e-05","-5.32532206886955e-05","-7.77089746917917e-05","-0.000158239063518265","-0.172298019453358","0","0","0","0","0","0","0","-2.18354831004817e-05","0","0","0","0","0","-0.00251197078293659","-0.000556928022136595","-0.000280503697315971","-0.000470376143095519","-0.000322938831428647","-0.000617325661735442","-0.00182028492867909","-0.00241404243750057","-0.000546693660236473","-0.0002419988568256","-0.000426631269125019","-0.000269694612580837","-0.000524572473381013","-0.00166637051162622","0.0151353205792079","0","0","0","-2.27770538156893e-06","0","0","0.000292774066720966","0","0","0","-9.91014984742293e-07","0","0","0.0065170081253902","0","-2.11876559489356e-05","0","0","0","0","-0.000148681761400328","0","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","DFFD_ MANU_R1_L1","-0.151104043115869","0.03370922404963","-0.000289144088890205","-0.00043413524321531","0","-0.000309896405114611","0","0","0.00121068871574167","-0.000224621575419296","-0.00033650172857154","-0.00038787116201552","-0.00026932413878883","-0.00048767414207254","-0.00120020795505448","0.00949696430706766","0","0","0","0","0.00665035804698547","-0.098056074600929","0.00323092535510827","-0.000183625975397757","0.000625572027916863","0","0","-0.00356356709170717","0","0.00439993356409416","-0.00182676336295119","-0.00207848361427137","-0.00186930930956805","-0.00110129231553922","-0.00209050308545107","-0.00499130996636031","0.0042322580591006","-0.00182592796273713","-0.00199586404444763","-0.00175092068695916","-0.000968205860623732","-0.00205134023915656","-0.00460746874313658","0.0609188639487608","-0.000222711169886579","-0.00012680008597501","-0.000276418674934473","-0.000168693801821471","-0.000129150215496272","-0.000768624791606214","-0.0850833213720143","0","0","-0.00296966086368528","0","0","0","0.0220711674910827","-0.000203116318079377","-0.000397037668047336","0.000480047985328906","0","0","0.00171383004272071","-0.00356989040941744","-0.000216169893470025","-0.000805989397918654","-0.00412176463355867","0","0","0"
"SLC","earthquake","sectorRegion_model","DFFD_ MANU_R1_L2","3.31893040326374","0.0402757878895216","-0.00173142566005924","-0.00287187367294071","-0.00106287571000228","-0.0016303986872442","0.00185937882632366","-0.0124743993205908","0.000781973150283715","-0.00132083340362814","-0.00187871311827526","-0.00184569190042827","-0.00127566406453136","-0.00222360289135291","-0.00475359233215995","0.0946799350060084","0","0.000189861787189298","0.0381178199642359","0","0.0389231763943789","-0.589785545971401","0.0123459177513199","-0.000979952658497804","0.00422264130627683","-0.00299017040948057","0","-0.0173612171629255","-0.127777642755727","0.00710436403639816","-0.0111014335666952","-0.012679942849352","-0.00939795995990237","-0.00570535414214172","-0.00984874261215084","-0.0177695378727905","0.00718312256943244","-0.011145274379419","-0.0125135639044633","-0.00909001609571043","-0.00539912055622983","-0.00988201716818938","-0.0170883033453529","0.276250976381348","-0.00176442075224213","-0.0010465734630084","-0.00150017981423751","-0.00103689398894729","-0.00116726389183762","-0.00295100446642627","-0.339086115925759","-0.00696071883943504","-0.000565733610515093","-0.0732559154788196","2.82067267759581e-05","0","0.0131342693821407","0.0482513454632304","-0.00169163104697072","-0.0023382696036204","0.00258804869134855","-0.00040065621149997","0.0119612637837911","0.00426626870788226","-0.0219411567862643","-0.00164791898914981","-0.00435630459667645","-0.0174236060584201","0.000706458625742453","-0.00452825652350694","-0.0246929412410644"
"SLC","earthquake","sectorRegion_model","DFFD_ MANU_R1_L3","3.21139358591127","0.00381965346331259","-0.00166373313780962","-0.0024908229448116","-0.00122153240039001","-0.00146430913804719","0.00143276161731384","-0.0145572701104712","-0.000487672114684404","-0.00128386213315141","-0.00164142179373745","-0.00177761893629662","-0.00120565878188335","-0.00207782733601879","-0.0046573962117874","0.0423731743475124","-1.48592455062047e-07","1.0658271773347e-07","0.0447367016246572","0","0.0320319536045583","-0.523940171594639","0.00150207134755638","-0.000873748047762672","0.00301008754887491","-0.00219291120656697","0","-0.0149458821014518","-0.138961086653784","0.00270463915892105","-0.0101764666153863","-0.0100951529514312","-0.00839043277366361","-0.00508522847374626","-0.00847691071788203","-0.0187328111771638","0.00281993084134753","-0.0102149708214007","-0.00997348359537679","-0.00811237157601045","-0.0048508797788754","-0.00846130961911233","-0.0181535624217506","0.1045498858864","-0.00158612569657176","-0.000723295712044337","-0.00138521193234263","-0.000963445434356976","-0.00108861290860254","-0.00251329197278772","-0.302419453263391","-0.0109527962231972","-0.000607293997332367","-0.0611605293448211","0","0","0.016203835796607","0.0368544213562679","-0.0015203279401239","-0.00186685096404416","0.00183739847560734","-0.000502695329813859","0.00693393222188245","0","-0.0279868183525739","-0.00182930677143546","-0.00406424511928063","-0.014202861748529","0","-0.00300639626987687","-0.0170731366426526"
