"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","ART_ACC_R1","ART_ACC_R2","ART_ACC_R3","ART_ACC_R4","ART_ACC_R5","ART_ACC_R6","ART_ACC_R7","COMMER_R1","COMMER_R2","COMMER_R3","COMMER_R4","COMMER_R5","COMMER_R6","COMMER_R7","CONS_R1","CONS_R2","CONS_R3","CONS_R4","CONS_R5","CONS_R6","CONS_R7","EDU_R1","EDU_R2","EDU_R3","EDU_R4","EDU_R5","EDU_R6","EDU_R7","HS1_R1","HS1_R2","HS1_R3","HS1_R4","HS1_R5","HS1_R6","HS1_R7","HS2_R1","HS2_R2","HS2_R3","HS2_R4","HS2_R5","HS2_R6","HS2_R7","HEALTH_R1","HEALTH_R2","HEALTH_R3","HEALTH_R4","HEALTH_R5","HEALTH_R6","HEALTH_R7","MANU_R1","MANU_R2","MANU_R3","MANU_R4","MANU_R5","MANU_R6","MANU_R7","RELIG_R1","RELIG_R2","RELIG_R3","RELIG_R4","RELIG_R5","RELIG_R6","RELIG_R7","UTIL_R1","UTIL_R2","UTIL_R3","UTIL_R4","UTIL_R5","UTIL_R6","UTIL_R7"
"SLC","earthquake","main_model","totDY","19.2803932466622","-0.00351882190869357","-0.0396723351716597","-0.0324987255501909","-0.0245219783232207","-0.0335813904728607","0","0","-0.00588811481111861","-0.0452128742824716","-0.045112582571153","-0.042042028979928","-0.0441967640172794","-0.0409093662536682","-0.0391480710699309","0","0","-0.0548519735909103","0","0","0","0","0","-0.0406623448952343","0","0","0","0","0","-0.0719402538390666","-0.144210931931767","-0.117945258053302","-0.123308776721021","-0.124732977994975","-0.148884001605764","-0.172758134242277","-0.0669830052289572","-0.144149256342642","-0.115917766860409","-0.120919038117246","-0.121876821091157","-0.146050441022031","-0.161788290838923","0","-0.0501744991413054","-0.0411885119699166","-0.0397498659699214","-0.0471170507295539","-0.0409047990320152","-0.0314601653246464","0","0","-0.030829473648362","0","-0.0379208556472559","0","0","0","-0.044570278329033","-0.0408450943641942","-0.026868270272044","-0.0359653301873729","0","0","0","-0.0110954105019709","-0.00167501378512733","0","0","0","0"
"SLC","earthquake","sectorRegion_model","DY_ HH1_R1","-0.221982400832804","-0.000236198077689318","-4.67356844947278e-05","0","0","0","0","0","-0.000256473121893174","-4.00750487479314e-05","-9.45859697329724e-05","-1.1839862458499e-05","-6.22990439934764e-06","0","0","0","0","0","0","0","0","0","0","-8.81897254643324e-06","0","0","0","0","0","-0.00139083723366771","9.51827895503351e-06","0","4.18282056038333e-05","2.06383592070912e-05","3.92932391845103e-05","6.80639147581653e-05","-0.00126914146495817","0","0","2.58098869939805e-05","1.05532979530628e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","DY_ HH2_R1","0.0613735893605968","-0.00233345824274711","-0.00021536880618127","-0.000206736531888432","0","0","0","0","-0.00268653250236052","-0.00023551555571664","-0.000468311282947772","-0.000100932984056695","-8.80547954017893e-05","-3.11089571651649e-05","0","0","0","-0.000586727699729439","0","0","0","0","0","-0.000193291660612128","0","0","0","0","0","-0.0185369255632787","0.000238865826553421","0.000108328474030122","0.000344713533796074","0.000194707335990352","0.000352001559205137","0.000731540391948759","-0.0183646851644191","0.000214007899257857","9.27313563734376e-05","0.000331357652580026","0.000185235239936395","0.000291277151197512","0.000514369613388408","0","-0.000151018030459362","-0.000582937495742961","-5.91824571500908e-05","-9.75446467911507e-05","-4.87021657762283e-05","0","-0.000770675273646409","0","-0.000371983737927248","0","-5.92822058354964e-05","0","0","-0.00189400355685742","-0.000130101832134802","-0.000254944371707159","0","0","0","0","-0.00190508120732351","0","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","DY_ HH3_R1","0.323077106747615","-0.0072186428536915","-0.000454533982196533","-0.000524976645796096","-8.81713492415218e-05","-0.000102732976591315","0","0","-0.00715490639489684","-0.00052131036381298","-0.000937236744786075","-0.000268919020897119","-0.000223637627513009","-0.000143220195251935","-0.000183162042745789","0","0","-0.00157967429585256","0","0","0","0","-0.00683507020919003","-0.000477177485439208","0","0","0","0","-0.00424510468619385","-0.0236165019130685","0.000550176336100239","0.000267019732210658","0.000745591337625548","0.00042947597275213","0.000769082076059739","0.00172153267168169","-0.0234539489378699","0.000513815754639428","0.000262503205041929","0.00074170853049746","0.000418942958448158","0.000700652686244704","0.00158976876874289","-0.00197134899938454","-0.000476584127330147","-0.00120643673875109","-0.000251743076781211","-0.000340960000296437","-0.000361654035347513","0","-0.00216920183216489","0","-0.00100857127230794","0","-0.000224671475966742","0","0","-0.0059208640358885","-0.000371158905358984","-0.000601899644807628","-0.000173940134177467","0","0","-0.00389345452897771","-0.00408117905592716","0","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","DY_ HH4_R1","0.094876014079837","-0.0123372445654","-0.000763999111202382","-0.000412862160120257","0","0","0","0","-0.011968922412215","-0.0012471674073785","-0.00176807418069648","-0.000422621021369897","-0.000413159868939757","-0.000117872812255881","0","0","0","-0.00233843545853336","0","0","0","0","-0.00987170141912447","-0.000992499312667716","0","0","0","0","0","-0.0993825759473618","0.00125034924164487","0.000271427265331757","0.00176746720601951","0.00109723576757079","0.00201042641151676","0.00542721906873692","-0.0985041443314911","0.00112518579913657","0.000200748150516529","0.0016736283196372","0.00102433627812912","0.00167858551150295","0.00418707426748785","-0.00237802911895793","-0.000891197896802919","-0.00125164619320992","-0.000386456053915562","-0.000377609423950412","0","0","-0.00270187748461009","0","-0.00111074863539443","0","-0.000431347087657354","0","0","-0.00971825425202914","-0.000568293991799816","-0.000997782399030928","0","0","0","0","-0.00310109070227592","0","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","DY_ HH1_R2","0.0208034735357012","0.000215906160302716","-0.000938385574195702","0","0","0","0","0","0.000646917482988376","-0.000814879635487355","-0.000108735747070008","-0.000160747065487704","-4.27939832889472e-05","0","0","0","0","-0.000117096276650756","0","0","0","0","0","-0.000555515085087296","0","0","0","0","0","0.000607262581124634","-0.00305379669368133","1.74617300046909e-05","-1.46595433413497e-05","0","3.34236022130829e-05","3.52801426696198e-07","0.000502238686861872","-0.00305038652890689","1.3180934928358e-05","0","0","0","0","0.000880854266797882","-0.00107735423755845","-0.000110906637135742","-5.80182042950786e-05","0","0","0","0.000708176158212476","0","0","0","-2.95620316613294e-05","0","0","0.000669764604876204","-0.00110903743152428","-0.000102399339332172","0","0","0","0","0","-0.000845465155314217","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","DY_ HH2_R2","0.834260479895228","7.11563634030247e-05","-0.00201968577758526","0","0","0","0","0","0.000395425819321733","-0.00188005255751111","-0.000202925693943176","-0.000305852172616583","-9.81856194909844e-05","0","0","0","0","-0.000538954887923458","0","0","0.00320494180128445","0","0","-0.000838468004763953","0","0","0","0","0","0.000935286258868803","-0.0147429336091744","0.000276297799531541","0.000178252599684346","0.000150224147914952","0.000297674973914624","0.000622745076983513","0.000841173218525244","-0.0147433278336245","0.000299467035177484","0.000175350996874755","0.000125796687987752","0.000150192412948005","0.000194634267211816","0","-0.00189506881071051","-0.000245839790337104","-0.000258015942621181","-7.39281660763329e-05","0","0","5.69822272511369e-05","0","-0.000244178543075967","0","-0.00014344541458723","0","0","0.000208810408046264","-0.00227537209990878","-0.000187119400995856","0","0","0","0","0","-0.00122458882546039","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","DY_ HH3_R2","1.90781414820804","0.000286080505925615","-0.00613368327961259","-0.000223619728548253","-0.000129780323062794","-1.31069443765454e-05","0","0","0.000732829080505292","-0.00510341071042656","-0.000490531900116232","-0.000756294288532925","-0.000276937959500908","0","0","0","0","-0.00155001503143118","-0.00935998683252345","0","0.0188091981445655","0","0","-0.00275968776967638","0.000500330357706158","-0.00128302334781744","0","0","0","0.00210722790673473","-0.0213731244128517","0.000675435680554722","0.000458958001026151","0.000383998439798872","0.000760136931980375","0.00171097865866835","0.00203182283477627","-0.0213909116553232","0.00072230356587487","0.000464673825620943","0.00036559458880238","0.000541466291173555","0.00115426148578387","0.000358886600853527","-0.0055947106672408","-0.000668289770076459","-0.000746937496278657","-0.000493913833714207","-0.00027580573967208","0","0.000214385435186859","-0.0165343863749284","-0.000852607612932038","0","-0.000412146870670838","0.000451442456730794","-0.00873770754603729","0.000863190767515161","-0.0063413981946865","-0.000518320652486498","-0.000613806816370022","-0.000517222777658856","0","2.51318061871434e-05","0","-0.00307606626889879","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","DY_ HH4_R2","6.98924330552828","0","-0.0140547044820537","0","0","0","0","0","0","-0.0131755989799064","-0.000787724032517209","-0.00141289665955537","-0.000251478152947045","0","0","0","0","0","0","0","0","0","0","-0.0125010822999501","0","0","0","0","0","0.00372272639669279","-0.134503146557685","0.00109798138621703","0.00268822140802523","0.00203513143222386","0.00372915272726737","0.009694183891389","0","-0.134149482318969","0.000496477277396888","0.00175940775685317","0.000713949491659708","0","0","0","-0.0109371792586524","0","-0.00119791651427387","0","0","0","0","0","0","0","0","0","0","0","-0.0122709221497384","0","0","0","0","0","0","0","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","DY_ HH1_R3","-0.167751784643715","0","-6.23799852710725e-05","-0.000191824309830496","0","0","0","0","0.000321027917835101","-5.36344238111698e-05","-0.000388987651916255","-4.25237075589484e-05","-2.40489407416461e-05","0","0","0","0","0","0","0","0","0","0","-3.78009524774333e-05","0","0","0","0","0","0.000341954245822242","-1.54990115817222e-06","-0.00145433591497328","2.53863282355565e-05","4.39256056384504e-06","2.32008902865703e-05","5.3356309484615e-05","0.000196365897169557","0","-0.00143528531122606","8.24276589924572e-06","0","0","0","0.000155497767817254","0","-0.000351519437800172","0","-1.92474803058761e-05","0","0","0.000331764289491377","0","0","0","0","0","0","0.000331369098345603","0","-0.000269618544842539","0","0","0","0","0","0","-0.000161269465583467","0","0","0","0"
